Stock,Trend,Proba,CV,Entry,Target,Stop,ATR,Score
BORORENEW,Bearish,0.2786411585601725,0.5114942528735632,586.9,530.86,619.34,22.19,0.2241940356231273
MAHSEAMLES,Bearish,0.28070419334944274,0.4942528735632184,572.22,517.59,603.85,11.87,0.22391805768334858
PURVA,Bearish,0.2726143269245078,0.5533661740558292,247.26,223.65,260.92,7.74,0.22391081498791268
ASTRON,Bearish,0.2791687976755827,0.5045155993431856,7.26,6.57,7.67,0.57,0.2238392839162349
SIS,Bearish,0.27571112065605785,0.5287356321839081,335.91,303.84,354.48,8.55,0.22373798986572052
TEAMLEASE,Bearish,0.27398599954374653,0.5414614121510674,1653.69,1495.8,1745.1,56.66,0.2237327382152794
EMIL,Bearish,0.27172061938576086,0.5582922824302134,121.13,109.57,127.83,3.91,0.22371218154354763
GOCLCORP,Bearish,0.293270935538101,0.4068144499178982,306.41,277.16,323.35,11.44,0.2236853030499966
JKLAKSHMI,Bearish,0.2722388789229797,0.5517241379310346,756.45,684.22,798.26,19.07,0.22342363166782475
DEEDEV,Bearish,0.2843520492727446,0.46346469622331693,215.22,194.67,227.12,8.7,0.22332608401831483
CHEMBOND,Bearish,0.28220042896023334,0.4766009852216749,160.2,144.9,169.05,7.65,0.2231190583651106
SANSTAR,Bearish,0.28704820419741306,0.4425287356321839,91.8,83.03,96.87,3.14,0.22303975406603588
CYBERMEDIA,Bearish,0.2771712493175306,0.5069786535303776,16.23,14.68,17.13,0.85,0.2225107123010521
SOBHA,Bearish,0.27904720261971483,0.493431855500821,1525.34,1379.7,1609.65,45.93,0.22250463315621266
KESORAMIND,Bearish,0.2857516999328676,0.44581280788177335,5.21,4.72,5.5,0.24,0.2224077270413452
DYNPRO,Bearish,0.273983312516183,0.5287356321839081,269.64,243.9,284.55,10.23,0.22233588349014394
SPECIALITY,Bearish,0.27923341073418906,0.48932676518883417,127.1,114.97,134.13,5.23,0.22219459908339576
ALIVUS,Bearish,0.2818031823949509,0.4708538587848932,890.33,805.32,939.54,22.2,0.22215715577638082
BSLSENETFG,Bearish,0.28523749311410285,0.4470443349753695,85.35,77.2,90.07,1.95,0.22214801803615594
