Issuer Name,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument,Sector Name,Industry New Name,Igroup Name,ISubgroup Name
Parker Agro Chem Export Ltd.,PARKERAC,Parker Agrochem Exports Ltd-$,Active,X ,10,INE750B01010,Trading & Distributors,Equity,Services,Services,Commercial Services & Supplies,Trading & Distributors
IOTA Chemiculture Ltd.,IOTACH,IOTA Chemiculture Ltd,Delisted,Z ,10,NA          , ,Equity,-,-,-,-
Shukra Pharmaceuticals Limited,SHUKRAPHAR,Shukra Pharmaceuticals Ltd,Active,XT,1,INE551C01044,Pharmaceuticals,Equity,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
Alufluoride  Ltd.,ALUFLUOR,Alufluoride Ltd,Active,X ,10,INE058F01019,Commodity Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals
OXYGENTA PHARMACEUTICAL LIMITED,OXYGENTAPH,Oxygenta Pharmaceutical Ltd,Active,XT,10,INE102E01018,Pharmaceuticals,Equity,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
Archit Organosys Limited,ARCHITORG,Archit Organosys Ltd,Active,X ,10,INE078I01011,Commodity Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals
Sikozy Realtors Limited,SIKOZY,Sikozy Realtors Ltd,Active,X ,1,INE528E01022,Residential- Commercial Projects,Equity,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects"
Sterling Basic Organics Ltd.,STERLCH,Sterling Basic Organics Ltd,Delisted,Z ,10,NA          , ,Equity,-,-,-,-
Vitara Chemicals Limited,VITACHM-B,Vitara Chemicals Ltd,Delisted,P ,10,NA          , ,Equity,-,-,-,-
Indo Amines Ltd.,INDOAMIN,Indo Amines Ltd-$,Active,B ,5,INE760F01028,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
Narmada Chematur Petrochemicals Ltd,NARMADACHEM,Narmada Chematur Petrochemicals Ltd,Delisted,B ,10,INE693B01012, ,Equity,-,-,-,-
Ind-Swift Ltd.,INDSWFTLTD,Ind-Swift Ltd,Suspended,B ,2,INE788B01028,Pharmaceuticals,Equity,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
Natural Capsules Ltd.,NATCAPSUQ,Natural Capsules Ltd,Active,B ,10,INE936B01015,Pharmaceuticals,Equity,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
Welcure Drugs & Pharmaceuticals ltd,WELCURE,Welcure Drugs & Pharmaceuticals Ltd,Active,XT,10,INE331C01017,Pharmaceuticals,Equity,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
Bharat Immunologicals & Biologicals,BIBCL,Bharat Immunologicals & Biologicals Corporation Ltd-$,Active,B ,10,INE994B01014,Pharmaceuticals,Equity,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
Add-life Pharma Ltd.,ADDLP,Add Life Pharma Ltd,Delisted,Z ,10,INE124C01016, ,Equity,-,-,-,-
Savita Oil Technologies Limited,SOTL,Savita Oil Technologies Ltd,Active,B ,2,INE035D01020,Lubricants,Equity,Energy,"Oil, Gas & Consumable Fuels",Petroleum Products,Lubricants
Hester Biosciences Ltd,HESTERBIO,Hester Biosciences Ltd,Active,B ,10,INE782E01017,Pharmaceuticals,Equity,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
Pinky Chemicals ltd.,PINKCHM,Pinky Chemicals Ltd,Suspended,Y ,10,NA          ,Commodity Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals
Kabsons Industries Ltd.,KABSON,Kabsons Industries Ltd,Active,X ,10,INE645C01010,Trading & Distributors,Equity,Services,Services,Commercial Services & Supplies,Trading & Distributors
U.P.Lime Chem Ltd.,UPLIMEC,UP Lime Chem Ltd,Delisted,P ,10,NA          , ,Equity,-,-,-,-
Hindustan Industrial Chemicals Ltd.,HINCHEM,Hindustan Industrial Chemicals Ltd,Delisted,Z ,10,NA          , ,Equity,-,-,-,-
Metrochem Industries Ltd.,METROCHE,Metrochem Industries Ltd-$,Delisted,B ,10,INE732B01018, ,Equity,-,-,-,-
Kanva Hydro-Chem Ltd.,KANVHYD,Kanva Hydro-Chem Ltd,Delisted,Z ,10,NA          , ,Equity,-,-,-,-
Basant Agro-Tech (India) Ltd.,BASANTGL,Basant Agro Tech India Ltd-$,Active,X ,1,INE473E01021,Fertilizers,Equity,Commodities,Chemicals,Fertilizers & Agrochemicals,Fertilizers
Parenteral Drug (India) Ltd.,PARENTLD,Parenteral Drugs India Ltd-$,Suspended,Z ,10,INE904D01019,Pharmaceuticals,Equity,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
R.S.Petrochemicals Ltd.,RSPETRO,RS Petrochemicals Ltd,Delisted,P ,10,NA          , ,Equity,-,-,-,-
Asian Fertilisers Ltd.,ASIANFR,Asian Fertilizers Ltd,Suspended,P ,10,INE01OY01018,Fertilizers,Equity,Commodities,Chemicals,Fertilizers & Agrochemicals,Fertilizers
Pioneer Products Ltd.,PIONEPD,Pioneer Products Ltd,Delisted,Z ,10,NA          , ,Equity,-,-,-,-
Kilburn Chemicals Ltd.,KILBURNC,Kilburn Chemicals Ltd-$,Delisted,Z ,10,INE655C01027,Commodity Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals
Kedia Chemical Industries Ltd.,KEDIACHE,Kedia Chemical Industries Ltd,Delisted,Z ,10,INE514D01016, ,Equity,-,-,-,-
Sandu Pharmaceuticals Ltd.,SANDUPHQ,Sandu Pharmaceuticals Ltd,Active,X ,10,INE751D01014,Pharmaceuticals,Equity,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
NACL Industries Limited,NACLIND,NACL Industries Ltd,Active,T ,1,INE295D01020,Pesticides & Agrochemicals,Equity,Commodities,Chemicals,Fertilizers & Agrochemicals,Pesticides & Agrochemicals
Vista Pharmaceuticals Ltd.,VISTAPH,Vista Pharmaceuticals Ltd,Active,X ,2,INE427C01021,Pharmaceuticals,Equity,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
Sun Pharmaceutical Industries Ltd.,SUNPHARMA,Sun Pharmaceutical Industries Ltd,Active,A ,1,INE044A01036,Pharmaceuticals,Equity,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
Titan Bio-Tech Ltd.,TITANBIO,Titan Biotech Ltd,Active,XT,10,INE150C01011,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
Socrus Bio Sciences Limited,SOCRUSBIO,Socrus Bio Sciences Ltd,Delisted,Z ,10,INE858A01039, ,Equity,-,-,-,-
Tria Fine-Chem Ltd.,TRIAFIN,Tria Fine Chem Ltd,Delisted,P ,10,NA          , ,Equity,-,-,-,-
Bijoy Hans Ltd,BIJHANS,Bijoy Hans Ltd,Active,X ,10,INE491D01017,Trading & Distributors,Equity,Services,Services,Commercial Services & Supplies,Trading & Distributors
Bhuvan Tripura Industries ltd.,BHUTI,Bhuvan Tripura Industries Ltd,Delisted,Z ,1,INE604B01027, ,Equity,-,-,-,-
Span Divergent Limited,SDL,Span Divergent Ltd-$,Active,X ,10,INE004E01016,Pharmaceuticals,Equity,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
Merven Drug Products Ltd.,MERVEND,Merven Drug Products Ltd,Delisted,Z ,10,-, ,Equity,-,-,-,-
Jenburkt Pharmaceuticals Ltd.,JENBURPH,Jenburkt Pharmaceuticals Ltd,Active,X ,10,INE354A01013,Pharmaceuticals,Equity,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
Hikal Ltd.,HIKAL,Hikal Ltd,Active,B ,2,INE475B01022,Pharmaceuticals,Equity,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
Benzo Petro International Ltd.,BENZOCH,Benzo Petro International Ltd,Delisted,Z ,10,INE981M01018, ,Equity,-,-,-,-
K.P. Gelatines And Chemicals (India) Ltd.(Wind-up),KPGELATDM,KPGELATDM,Delisted,Z ,10,NA          , ,Equity,-,-,-,-
Caplin Point Laboratories Ltd.,CAPLIPOINT,Caplin Point Laboratories Ltd,Active,A ,2,INE475E01026,Pharmaceuticals,Equity,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
FISCHER MEDICAL VENTURES LIMITED,FISCHER,Fischer Medical Ventures Ltd,Active,B ,1,INE771F01041,Medical Equipment & Supplies,Equity,Healthcare,Healthcare,Healthcare Equipment & Supplies,Medical Equipment & Supplies
SIRIS Ltd.,SIRISLT-B,Siris Ltd,Delisted,P ,10,NA          , ,Equity,-,-,-,-
Link Pharma Chem Ltd.,LINKPH,Link Pharma Chem Ltd,Active,X ,10,INE302F01011,Commodity Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals
Bharat Starch Industries Ltd.,BHASIDM,Bharat Starch Industries Ltd,Delisted,B ,10,INE030D01013, ,Equity,-,-,-,-
DECIPHER LABS LIMITED,DECIPHER,Decipher Labs Ltd,Active,X ,10,INE643N01012,Pharmaceuticals,Equity,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
Gujarat Meditech Ltd.,GUJMEDI,Gujarat Meditech Ltd,Delisted,Z ,10,INE010M01016,Medical Equipment & Supplies,Equity,Healthcare,Healthcare,Healthcare Equipment & Supplies,Medical Equipment & Supplies
Emaai Pharma Ltd.,EMAAIDG,Emaai Pharmaceuticals Ltd,Delisted,Z ,10,NA          , ,Equity,-,-,-,-
Wintac Ltd.,WINTAC,Wintac Ltd,Delisted,XT,10,INE812C01016, ,Equity,-,-,-,-
Arvind International ltd.,ARVINDIN,Arvind International Ltd-$,Delisted,Z ,10,INE512C01012, ,Equity,-,-,-,-
Nova Surgikos Limited,NOVASUR,Nova Surgikos Ltd,Delisted,Z ,10,NA          , ,Equity,-,-,-,-
Nutraplus India Limited,NUTRA,Nutraplus India Ltd,Delisted,Z ,5,INE230G01020,Commodity Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals
Emmessar Biotech & Nutrition Ltd.,EMMESSA,Emmessar Biotech & Nutrition Ltd,Active,X ,10,INE634B01016,Commodity Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals
Maya Rasayan Ltd.,MAYARAS,Maya Rasayan Ltd,Delisted,P ,10,NA          , ,Equity,-,-,-,-
La Medical Devices Ltd.,LAMEDICDM,La Medical Devices Ltd,Delisted,Z ,10,NA          , ,Equity,-,-,-,-
NGL Fine Chem Ltd.,NGLFINE,NGL Fine Chem Ltd,Active,B ,5,INE887E01022,Pharmaceuticals,Equity,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
Anmol Drugs & Pharmaceuticals  Ltd.,ANMOLDG,Anmol Drugs & Pharmaceuticals Ltd,Delisted,Z ,10,NA          , ,Equity,-,-,-,-
Bagri Minerals & Chemicals Ltd.,BAGRICH,Bagri Minerals & Chemicals Ltd,Delisted,Z ,10,NA          , ,Equity,-,-,-,-
Fine Drugs And Chemicals Ltd.,FINEDRUG,Fine Drugs & Chemicals Ltd,Delisted,B ,10,INE407D01013, ,Equity,-,-,-,-
